
Kelvin Ayala
Witold Baranowski
Damian Bartkowiak
Grzegorz Białas
Kiryl Haivaronski
Fuki Harano
Kodai Kambara
Damian Koza
Marcin Kurkowiak
Mateusz Łubiński
Takashi Mizuno
Yosuke Nihei
Wojciech Pobłocki
Robert Roggenbuck
Filip Sulikowski
Piotr Tarasiewcz
Dawid Trepczyk
Kamil Trepczyk
Łukasz Trzpiot
Mitsuhiro Watanabe
Maciej Wróblewski
Shinya Yamauchi
Jakub Zelewski
